MIP_ID	Subspecies	Subspecies_MIP_paralog
0173	graecus	no paralog
0173	hybF2	no paralog
0173	montandoni	no data
0173	vulgaris	no data
0174	graecus	no paralog
0174	hybF2	no paralog
0174	montandoni	no data
0174	vulgaris	no data
0175	graecus	no paralog
0175	hybF2	no paralog
0175	montandoni	no data
0175	vulgaris	no data
0176	graecus	no paralog
0176	hybF2	no paralog
0176	montandoni	no data
0176	vulgaris	no data
0177	graecus	paralog
0177	hybF2	no paralog
0177	montandoni	no data
0177	vulgaris	no data
0178	graecus	no paralog
0178	hybF2	no paralog
0178	montandoni	no data
0178	vulgaris	no data
0179	graecus	no paralog
0179	hybF2	no paralog
0179	montandoni	no data
0179	vulgaris	no data
0180	graecus	paralog
0180	hybF2	no paralog
0180	montandoni	no data
0180	vulgaris	no data
0181	graecus	no paralog
0181	hybF2	no paralog
0181	montandoni	no data
0181	vulgaris	no data
0182	graecus	no paralog
0182	hybF2	no paralog
0182	montandoni	no data
0182	vulgaris	no data
0183	graecus	no paralog
0183	hybF2	no paralog
0183	montandoni	no data
0183	vulgaris	no data
0184	graecus	no paralog
0184	hybF2	no paralog
0184	montandoni	no data
0184	vulgaris	no data
0185	graecus	no paralog
0185	hybF2	no paralog
0185	montandoni	no data
0185	vulgaris	no data
0186	graecus	no paralog
0186	hybF2	no paralog
0186	montandoni	no data
0186	vulgaris	no data
0187	graecus	no paralog
0187	hybF2	no paralog
0187	montandoni	no data
0187	vulgaris	no data
0188	graecus	no paralog
0188	hybF2	no paralog
0188	montandoni	no data
0188	vulgaris	no data
0189	graecus	no paralog
0189	hybF2	no paralog
0189	montandoni	no data
0189	vulgaris	no data
0190	graecus	no paralog
0190	hybF2	no paralog
0190	montandoni	no data
0190	vulgaris	no data
0191	graecus	no paralog
0191	hybF2	paralog
0191	montandoni	no data
0191	vulgaris	no data
0192	graecus	no paralog
0192	hybF2	no paralog
0192	montandoni	no data
0192	vulgaris	no data
0193	graecus	no paralog
0193	hybF2	no paralog
0193	montandoni	no data
0193	vulgaris	no data
0194	graecus	no data
0194	hybF2	no data
0194	montandoni	no data
0194	vulgaris	no data
0195	graecus	no paralog
0195	hybF2	no paralog
0195	montandoni	no data
0195	vulgaris	no data
0196	graecus	no paralog
0196	hybF2	no paralog
0196	montandoni	no data
0196	vulgaris	no data
0197	graecus	paralog
0197	hybF2	paralog
0197	montandoni	no data
0197	vulgaris	no data
0198	graecus	no paralog
0198	hybF2	no paralog
0198	montandoni	no data
0198	vulgaris	no data
0199	graecus	no data
0199	hybF2	no data
0199	montandoni	no data
0199	vulgaris	no data
0200	graecus	no data
0200	hybF2	no data
0200	montandoni	no data
